feature,importance_gain,importance_normalized
BURO_DAYS_CREDIT_UPDATE_MEAN,90.23102569580078,0.0019283217846203413
PREV_NAME_GOODS_CATEGORY_FURNITURE_MEAN,90.12732696533203,0.0019261056453327918
FLAG_WORK_PHONE,90.0665512084961,0.0019248068103147943
BURO_CREDIT_COUNT,89.95477294921875,0.001922418003906474
PREV_CHANNEL_TYPE_AP_CASH_LOAN_MEAN,89.75354766845703,0.0019181176306200466
PREV_NAME_GOODS_CATEGORY_CLOTHING_AND_ACCESSORIES_MEAN,89.5819091796875,0.0019144495548731363
BURO_CREDIT_TYPE_CAR_LOAN_MEAN,88.85724639892578,0.0018989628304801607
NAME_HOUSING_TYPE_Office_apartment,88.5984115600586,0.00189343128681702
CC_AMT_CREDIT_LIMIT_ACTUAL_SUM,87.80054473876953,0.001876380123308091
INSTAL_PAYMENT_PERC_MAX,87.65827178955078,0.0018733396167281743
BURO_CREDIT_ACTIVE_ACTIVE_MEAN,87.19013977050781,0.001863335195705164
PREV_NAME_TYPE_SUITE_NAN_MEAN,87.0772476196289,0.001860922584386898
INCOME_CREDIT_PERC,86.91987609863281,0.001857559407144087
OCCUPATION_TYPE_High_skill_tech_staff,86.42486572265625,0.0018469805703831398
INSTAL_NUM_INSTALMENT_NUMBER_MEAN,86.22151184082031,0.0018426347068920901
INSTAL_DBD_SUM,85.96147155761719,0.0018370774017510629
PREV_AMT_GOODS_PRICE_MEAN,85.95409393310547,0.0018369197349845045
PREV_PRODUCT_COMBINATION_CASH_STREET_LOW_MEAN,85.9256820678711,0.0018363125467335602
PREV_NAME_GOODS_CATEGORY_PHOTO_CINEMA_EQUIPMENT_MEAN,85.7279281616211,0.0018320863599815527
CC_AMT_RECIVABLE_MAX,85.61471557617188,0.001829666900675494
PREV_AMT_DOWN_PAYMENT_MEAN,85.28492736816406,0.0018226190168582766
NAME_FAMILY_STATUS_Civil_marriage,85.1939697265625,0.0018206751666091472
NAME_HOUSING_TYPE_Municipal_apartment,84.7984390258789,0.001812222303963147
APARTMENTS_MEDI,84.00227355957031,0.00179520750000845
FLAG_DOCUMENT_13,83.78936767578125,0.0017906575012622493
CC_AMT_DRAWINGS_CURRENT_SUM,83.62760162353516,0.0017872004087582827
CC_AMT_INST_MIN_REGULARITY_MEAN,83.49688720703125,0.0017844069188808851
PREV_APPLICATION_COUNT,83.45755004882812,0.0017835662468556788
ORGANIZATION_TYPE_School,83.1767578125,0.001777565452981416
LANDAREA_AVG,82.8333969116211,0.0017702275079669832
POS_CNT_INSTALMENT_FUTURE_SUM,82.60610961914062,0.0017653701650067574
ORGANIZATION_TYPE_Transport_type_3,82.52056884765625,0.0017635420783607887
CC_AMT_RECEIVABLE_PRINCIPAL_SUM,82.3314437866211,0.0017595002981371964
YEARS_BEGINEXPLUATATION_AVG,82.287353515625,0.0017585580476263997
PREV_NAME_CONTRACT_TYPE_CONSUMER_LOANS_MEAN,82.20857238769531,0.0017568744209133893
REGION_POPULATION_RELATIVE,82.13937377929688,0.0017553955816448433
PREV_DAYS_DECISION_MAX,82.01881408691406,0.00175281910776154
BURO_BB_STATUS_1_MEAN_MEAN,81.77455139160156,0.0017475989844956345
BURO_DAYS_CREDIT_MIN,81.56754302978516,0.0017431750213342833
BURO_DAYS_CREDIT_ENDDATE_MEAN,81.56533813476562,0.001743127900656377
REGION_RATING_CLIENT,81.43317413330078,0.0017403034317865845
FLAG_DOCUMENT_16,81.2309341430664,0.0017359813732054803
FLAG_PHONE,81.15415954589844,0.001734340627939838
PREV_NAME_PRODUCT_TYPE_X_SELL_MEAN,80.93921661376953,0.0017297470955569558
DAYS_REGISTRATION,80.5177230834961,0.0017207393828524262
ORGANIZATION_TYPE_Realtor,80.24037170410156,0.0017148121233232698
POS_SK_DPD_MEAN,79.96428680419922,0.0017089119296506273
PREV_NAME_CLIENT_TYPE_NEW_MEAN,79.70719146728516,0.0017034175607783606
INSTAL_AMT_INSTALMENT_MEAN,79.65182495117188,0.0017022343263161956
PREV_CODE_REJECT_REASON_SCO_MEAN,79.40044403076172,0.0016968620798928971
CC_AMT_TOTAL_RECEIVABLE_MAX,79.30108642578125,0.0016947387145352045
